,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
0,The Shawshank Redemption,1994,9.3,80.0,2389105,28.34,142
1,The Godfather,1972,9.2,100.0,1655679,134.97,175
2,Soorarai Pottru,2020,9.1,,62223,,153
3,The Dark Knight,2008,9.0,84.0,2351702,534.86,152
4,The Godfather: Part II,1974,9.0,90.0,1151332,57.3,202
5,12 Angry Men,1957,9.0,96.0,704886,4.36,96
6,The Lord of the Rings: The Return of the King,2003,8.9,94.0,1670306,377.85,201
7,Pulp Fiction,1994,8.9,94.0,1860104,107.93,154
8,Schindler's List,1993,8.9,94.0,1234560,96.9,195
9,Inception,2010,8.8,74.0,2110286,292.58,148
10,Fight Club,1999,8.8,66.0,1889468,37.03,139
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1691079,315.54,178
12,Forrest Gump,1994,8.8,82.0,1848278,330.25,142
13,"The Good, the Bad and the Ugly",1966,8.8,90.0,699541,6.1,178
14,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1510587,342.55,179
15,The Matrix,1999,8.7,73.0,1708005,171.48,136
16,Goodfellas,1990,8.7,90.0,1041206,46.84,146
17,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1177464,290.48,124
18,One Flew Over the Cuckoo's Nest,1975,8.7,84.0,932317,112.0,133
19,Parasite,2019,8.6,96.0,604346,53.37,132
20,Interstellar,2014,8.6,74.0,1554893,188.02,169
21,City of God,2002,8.6,79.0,708639,7.56,130
22,Spirited Away,2001,8.6,96.0,669351,10.06,125
23,Saving Private Ryan,1998,8.6,91.0,1260631,216.54,169
24,The Green Mile,1999,8.6,61.0,1171785,136.8,189
25,Life Is Beautiful,1997,8.6,59.0,635907,57.6,116
26,Se7en,1995,8.6,65.0,1474834,100.13,127
27,The Silence of the Lambs,1991,8.6,85.0,1296557,130.74,118
28,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1249551,322.74,121
29,Hara-Kiri,1962,8.6,85.0,44807,,133
30,Seven Samurai,1954,8.6,98.0,320974,0.27,207
31,It's a Wonderful Life,1946,8.6,89.0,412040,,130
32,Hamilton,2020,8.5,90.0,64001,,160
33,Raatchasan,2018,8.5,,28429,,170
34,Whiplash,2014,8.5,88.0,737242,13.09,106
35,The Intouchables,2011,8.5,57.0,777248,13.18,112
36,The Prestige,2006,8.5,66.0,1213853,53.09,130
37,The Departed,2006,8.5,85.0,1211384,132.38,151
38,The Pianist,2002,8.5,85.0,747427,32.57,150
39,Gladiator,2000,8.5,67.0,1364338,187.71,155
